"","Value","S","K","tau","r","BS"
"2373",84.5,1457.6,1400,0.10958904109589,0.0111,"Under"
"2374",48,1452.36,1440,0.0904109589041096,0.0112,"Under"
"2375",9.125,1527.35,1700,0.235616438356164,0.0106,"Over"
"2376",143,1477.26,1350,0.117808219178082,0.011,"Under"
"2377",125,1371.18,1300,0.26027397260274,0.0119,"Under"
"2378",14,1409.28,1475,0.104109589041096,0.0116,"Over"
"2379",18.5,1353.43,1425,0.13972602739726,0.012,"Over"
"2380",288.5,1482.8,1225,0.356164383561644,0.0111,"Under"
"2381",15.5,1432.19,1500,0.10958904109589,0.0114,"Over"
"2382",197.75,1389.94,1200,0.0904109589041096,0.0117,"Under"
"2383",97.5,1429.4,1360,0.126027397260274,0.0114,"Under"
"2384",175.5,1452.56,1325,0.36986301369863,0.0114,"Under"
"2385",2,1402.03,1600,0.186301369863014,0.0117,"Over"
"2386",54.125,1436.23,1425,0.128767123287671,0.0114,"Under"
"2387",73.5,1457.6,1500,0.435616438356164,0.0111,"Under"
"2388",30,1329.78,1400,0.178082191780822,0.0123,"Under"
"2389",115,1498.13,1500,0.567123287671233,0.011,"Under"
"2390",149.25,1500.59,1375,0.106849315068493,0.0109,"Under"
"2391",334.75,1366.7,1100,0.775342465753425,0.0119,"Under"
"2392",170,1478.9,1375,0.443835616438356,0.0112,"Under"
"2393",2,1408.99,1900,0.693150684931507,0.0116,"Over"
"2394",251.125,1415.1,1175,0.123287671232877,0.0115,"Under"
"2395",10.375,1468.25,1700,0.378082191780822,0.0111,"Over"
"2396",44,1322.74,1350,0.167123287671233,0.0124,"Under"
"2397",99.25,1426.46,1350,0.126027397260274,0.0115,"Under"
"2398",14,1356.56,1500,0.175342465753425,0.012,"Under"
"2399",119.125,1479.85,1375,0.0849315068493151,0.0111,"Under"
"2400",95,1322.36,1300,0.315068493150685,0.0124,"Under"
"2401",109.75,1452.42,1425,0.391780821917808,0.0114,"Under"
"2402",65.5,1464.47,1550,0.501369863013699,0.0111,"Under"
"2403",290.25,1440.51,1200,0.427397260273973,0.0113,"Under"
"2404",164.875,1314.95,1200,0.293150684931507,0.0124,"Under"
"2405",277.625,1346.09,1100,0.328767123287671,0.012,"Under"
"2406",145.75,1452.18,1400,0.484931506849315,0.0112,"Under"
"2407",89,1369.89,1400,0.520547945205479,0.0119,"Under"
"2408",155.375,1456.67,1375,0.446575342465753,0.0113,"Under"
"2409",23.5,1410.03,1460,0.145205479452055,0.0115,"Over"
"2410",505.875,1328.92,850,0.468493150684932,0.0123,"Under"
"2411",230.125,1400.14,1175,0.101369863013699,0.0117,"Under"
"2412",4.5,1507.73,1750,0.221917808219178,0.0108,"Over"
"2413",330.75,1452.36,1125,0.0904109589041096,0.0112,"Under"
"2414",16.75,1408.99,1600,0.443835616438356,0.0116,"Over"
"2415",149.25,1432.63,1300,0.117808219178082,0.0114,"Under"
"2416",40,1452.42,1470,0.142465753424658,0.0114,"Over"
"2417",224.75,1449.68,1350,0.926027397260274,0.0112,"Under"
"2418",146.25,1505.97,1450,0.564383561643836,0.011,"Under"
"2419",41.75,1464.92,1480,0.13972602739726,0.0111,"Over"
"2420",53.75,1372.32,1425,0.331506849315069,0.0119,"Under"
"2421",156.5,1436.51,1350,0.463013698630137,0.0114,"Under"
"2422",80,1409.12,1550,0.871232876712329,0.0115,"Under"
"2423",313.375,1500.59,1200,0.106849315068493,0.0109,"Under"
"2424",46.5,1506.45,1550,0.30958904109589,0.0109,"Over"
"2425",117,1475.95,1400,0.241095890410959,0.0111,"Under"
"2426",77.5,1441.72,1450,0.356164383561644,0.0112,"Under"
"2427",317,1500.64,1200,0.238356164383562,0.0108,"Under"
"2428",173.75,1502.59,1350,0.219178082191781,0.011,"Under"
"2429",247.625,1407.81,1200,0.350684931506849,0.0116,"Under"
"2430",139.375,1458.29,1350,0.216438356164384,0.0113,"Under"
"2431",72,1395.07,1375,0.194520547945205,0.0116,"Under"
"2432",277.125,1407.81,1200,0.6,0.0116,"Under"
"2433",222.25,1442.39,1275,0.465753424657534,0.0113,"Under"
"2434",65,1508.52,1525,0.219178082191781,0.0107,"Under"
"2435",355,1430.83,1100,0.378082191780822,0.0115,"Under"
"2436",23.5,1444.51,1625,0.493150684931507,0.0114,"Over"
"2437",27.75,1499.48,1600,0.320547945205479,0.011,"Over"
"2438",194.625,1314.95,1200,0.542465753424658,0.0124,"Under"
"2439",3,1322.74,1700,0.493150684931507,0.0124,"Over"
"2440",132,1340.93,1225,0.101369863013699,0.0122,"Under"
"2441",117.5,1481.96,1450,0.410958904109589,0.0111,"Under"
"2442",29.5,1527.46,1600,0.156164383561644,0.0106,"Under"
"2443",109,1509.98,1550,0.673972602739726,0.0109,"Under"
"2444",69.375,1477.44,1455,0.145205479452055,0.011,"Under"
"2445",227.625,1491.72,1375,0.827397260273973,0.0111,"Under"
"2446",32,1474.47,1600,0.394520547945205,0.0112,"Over"
"2447",127.75,1516.35,1425,0.194520547945205,0.0108,"Under"
"2448",183.75,1494.5,1425,0.76986301369863,0.011,"Under"
"2449",90.875,1517.68,1450,0.13972602739726,0.0109,"Over"
"2450",150.75,1458.47,1325,0.178082191780822,0.0111,"Under"
"2451",48.875,1387.67,1600,0.832876712328767,0.0117,"Under"
"2452",45,1364.9,1380,0.142465753424658,0.012,"Under"
"2453",558.75,1441.61,900,0.413698630136986,0.0113,"Under"
"2454",135.5,1466.04,1400,0.336986301369863,0.0111,"Under"
"2455",122,1399.42,1300,0.126027397260274,0.0116,"Under"
"2456",124.375,1477.26,1375,0.117808219178082,0.011,"Under"
"2457",127.25,1467.17,1375,0.180821917808219,0.0111,"Under"
"2458",41.625,1517.68,1725,0.791780821917808,0.0109,"Over"
"2459",119,1464.47,1400,0.252054794520548,0.0111,"Under"
"2460",60,1440.51,1485,0.178082191780822,0.0113,"Under"
"2461",148,1360.69,1250,0.315068493150685,0.0119,"Under"
"2462",62.125,1491.72,1475,0.175342465753425,0.0111,"Over"
"2463",59,1491.56,1525,0.33972602739726,0.0111,"Over"
"2464",242.125,1422.45,1250,0.547945205479452,0.0115,"Under"
"2465",258.125,1401.69,1200,0.523287671232877,0.0116,"Under"
"2466",39,1426.69,1440,0.117808219178082,0.0115,"Under"
"2467",135.5,1484.91,1375,0.180821917808219,0.0111,"Under"
"2468",211.5,1352.17,1200,0.567123287671233,0.012,"Under"
"2469",59,1328.92,1330,0.219178082191781,0.0123,"Under"
"2470",368.875,1475.95,1150,0.49041095890411,0.0111,"Under"
"2471",110.625,1481.96,1400,0.161643835616438,0.0111,"Under"
"2472",287.875,1429.86,1150,0.147945205479452,0.0114,"Under"
"2473",65.375,1364.44,1475,0.638356164383562,0.012,"Under"
"2474",73,1342.13,1450,0.66027397260274,0.0122,"Under"
"2475",34,1508.52,1550,0.142465753424658,0.0107,"Under"
"2476",347.375,1434.32,1100,0.2,0.0114,"Under"
"2477",71,1504.46,1500,0.186301369863014,0.0108,"Under"
"2478",72.75,1456.63,1525,0.493150684931507,0.0111,"Under"
"2479",81,1449.62,1400,0.13972602739726,0.0114,"Under"
"2480",217.75,1480.88,1400,0.931506849315068,0.0111,"Under"
"2481",138,1420.6,1400,0.545205479452055,0.0115,"Under"
"2482",25.5,1398.56,1445,0.13972602739726,0.0116,"Over"
"2483",57.375,1407.81,1425,0.178082191780822,0.0116,"Under"
"2484",38.5,1383.05,1500,0.353424657534247,0.0118,"Under"
"2485",56,1464.46,1500,0.252054794520548,0.0111,"Under"
"2486",141.625,1484.91,1475,0.756164383561644,0.0111,"Under"
"2487",146.75,1464.47,1350,0.175342465753425,0.0111,"Under"
"2488",73.5,1446,1425,0.186301369863014,0.0113,"Under"
"2489",163.75,1442.39,1350,0.465753424657534,0.0113,"Under"
"2490",124.875,1501.34,1400,0.120547945205479,0.0109,"Under"
"2491",59,1374.62,1350,0.0904109589041096,0.0119,"Under"
"2492",30,1460.99,1525,0.142465753424658,0.0112,"Under"
"2493",259.875,1359.15,1125,0.26027397260274,0.0119,"Under"
"2494",271.625,1342.62,1100,0.320547945205479,0.0122,"Under"
"2495",36.125,1374.62,1500,0.416438356164384,0.0119,"Under"
"2496",43.5,1365.98,1450,0.347945205479452,0.012,"Under"
"2497",109.625,1436.28,1350,0.120547945205479,0.0114,"Under"
"2498",55.875,1424.37,1410,0.117808219178082,0.0114,"Under"
"2499",81,1494.5,1475,0.271232876712329,0.011,"Under"
"2500",37,1424.97,1440,0.120547945205479,0.0114,"Over"
"2501",66.125,1333.36,1425,0.558904109589041,0.0122,"Under"
"2502",87.5,1438.56,1575,0.931506849315068,0.0113,"Under"
"2503",10,1360.69,1475,0.142465753424658,0.0119,"Over"
"2504",190,1527.35,1350,0.158904109589041,0.0106,"Under"
"2505",23.75,1461.67,1550,0.197260273972603,0.0112,"Over"
"2506",83,1441.47,1450,0.443835616438356,0.0112,"Over"
"2507",284.25,1486,1250,0.493150684931507,0.011,"Under"
"2508",309.75,1441.61,1200,0.663013698630137,0.0113,"Under"
"2509",380.5,1409.12,1100,0.871232876712329,0.0115,"Under"
"2510",31,1484.43,1490,0.0876712328767123,0.0111,"Over"
"2511",85.125,1471.84,1425,0.194520547945205,0.0112,"Under"
"2512",57,1481.96,1450,0.0849315068493151,0.0111,"Under"
"2513",56.5,1455.9,1450,0.161643835616438,0.0111,"Under"
"2514",292.875,1462.93,1200,0.367123287671233,0.0113,"Under"
"2515",163.625,1489.26,1450,0.761643835616438,0.0111,"Under"
"2516",19.875,1441.72,1475,0.106849315068493,0.0112,"Over"
"2517",146,1508.31,1400,0.312328767123288,0.0109,"Under"
"2518",89.5,1449.62,1450,0.389041095890411,0.0114,"Under"
"2519",323.5,1424.24,1125,0.358904109589041,0.0114,"Under"
"2520",8,1509.84,1600,0.145205479452055,0.0109,"Over"
"2521",149.125,1504.46,1375,0.10958904109589,0.0108,"Under"
"2522",337.375,1383.05,1050,0.104109589041096,0.0118,"Under"
"2523",26.5,1378.02,1500,0.30958904109589,0.0118,"Over"
"2524",103.125,1508.52,1600,0.717808219178082,0.0107,"Under"
"2525",171,1364.59,1300,0.67945205479452,0.012,"Under"
"2526",17.75,1351.26,1415,0.0904109589041096,0.0121,"Under"
"2527",194.375,1348.05,1225,0.550684931506849,0.012,"Under"
"2528",108.5,1508.31,1425,0.158904109589041,0.0109,"Under"
"2529",2.5,1436.51,1900,0.712328767123288,0.0114,"Over"
"2530",87.25,1509.84,1450,0.145205479452055,0.0109,"Under"
"2531",99,1489.26,1500,0.512328767123288,0.0111,"Under"
"2532",223.5,1467.17,1250,0.104109589041096,0.0111,"Under"
"2533",112,1379.19,1325,0.295890410958904,0.0118,"Under"
"2534",519.75,1426.57,950,0.717808219178082,0.0116,"Under"
"2535",94,1436.23,1500,0.704109589041096,0.0114,"Under"
"2536",322.125,1409.57,1100,0.120547945205479,0.0116,"Under"
"2537",262.875,1394.46,1200,0.627397260273973,0.0116,"Under"
"2538",336.125,1399.42,1075,0.202739726027397,0.0116,"Under"
"2539",37,1452.56,1460,0.120547945205479,0.0114,"Over"
"2540",112,1446,1450,0.512328767123288,0.0113,"Under"
"2541",117.5,1481.96,1450,0.410958904109589,0.0111,"Under"
"2542",58.5,1419.89,1400,0.136986301369863,0.0116,"Under"
"2543",33,1387.67,1395,0.0849315068493151,0.0117,"Under"
"2544",342,1410.03,1150,0.893150684931507,0.0115,"Under"
"2545",279,1464.92,1250,0.638356164383562,0.0111,"Under"
"2546",162,1508.52,1375,0.142465753424658,0.0107,"Under"
"2547",231,1452.18,1250,0.235616438356164,0.0112,"Under"
"2548",25,1314.95,1375,0.13972602739726,0.0124,"Under"
"2549",4.5,1472.87,1575,0.104109589041096,0.0112,"Over"
"2550",47,1379.58,1380,0.136986301369863,0.0119,"Under"
"2551",27.5,1400.14,1525,0.350684931506849,0.0117,"Over"
"2552",91.5,1481.96,1550,0.66027397260274,0.0111,"Under"
"2553",63,1383.62,1395,0.263013698630137,0.0117,"Under"
"2554",58.5,1460.99,1500,0.219178082191781,0.0112,"Under"
"2555",109.125,1429.86,1350,0.147945205479452,0.0114,"Under"
"2556",57,1372.32,1375,0.178082191780822,0.0119,"Under"
"2557",15.5,1322.36,1425,0.161643835616438,0.0124,"Under"
"2558",335.5,1387.02,1100,0.682191780821918,0.0118,"Under"
"2559",163.875,1495.57,1400,0.408219178082192,0.011,"Under"
"2560",336.125,1409.12,1100,0.372602739726027,0.0115,"Under"
"2561",0.5,1441.36,1650,0.156164383561644,0.0112,"Over"
"2562",390.125,1424.24,1100,0.857534246575342,0.0114,"Under"
"2563",145,1416.83,1325,0.350684931506849,0.0114,"Under"
"2564",485.75,1395.07,925,0.271232876712329,0.0116,"Under"
"2565",357.25,1514.09,1200,0.550684931506849,0.0109,"Under"
"2566",84.125,1509.98,1600,0.673972602739726,0.0109,"Under"
"2567",90.5,1472.87,1600,0.852054794520548,0.0112,"Under"
"2568",55.25,1342.62,1400,0.320547945205479,0.0122,"Under"
"2569",367.375,1478.9,1200,0.942465753424658,0.0112,"Under"
"2570",79.125,1380.2,1350,0.186301369863014,0.0119,"Under"
"2571",374,1458.47,1100,0.254794520547945,0.0111,"Under"
"2572",432.75,1424.24,1050,0.857534246575342,0.0114,"Under"
"2573",98.875,1429.4,1375,0.221917808219178,0.0114,"Under"
"2574",191.875,1324.97,1250,0.780821917808219,0.0124,"Under"
"2575",360.5,1493.87,1200,0.73972602739726,0.0109,"Under"
"2576",235.125,1501.34,1325,0.446575342465753,0.0109,"Under"
"2577",368,1494.73,1150,0.202739726027397,0.0109,"Under"
"2578",27,1498.58,1600,0.213698630136986,0.0109,"Under"
"2579",51,1382.95,1375,0.0876712328767123,0.0118,"Under"
"2580",120.125,1426.46,1325,0.126027397260274,0.0115,"Under"
"2581",125.5,1466.04,1375,0.164383561643836,0.0111,"Under"
"2582",57.5,1471.36,1500,0.276712328767123,0.0111,"Over"
"2583",11.75,1461.67,1550,0.101369863013699,0.0112,"Over"
"2584",261.5,1507.73,1275,0.221917808219178,0.0108,"Under"
"2585",86.625,1401.69,1340,0.101369863013699,0.0116,"Under"
"2586",105,1378.02,1400,0.558904109589041,0.0118,"Under"
"2587",224,1527.46,1350,0.232876712328767,0.0106,"Under"
"2588",231.875,1448.81,1250,0.293150684931507,0.0113,"Under"
"2589",72,1451.34,1400,0.0849315068493151,0.0114,"Under"
"2590",163.25,1467.63,1350,0.282191780821918,0.0111,"Under"
"2591",5,1494.73,1700,0.202739726027397,0.0109,"Over"
"2592",300,1480.87,1200,0.254794520547945,0.0111,"Under"
"2593",394.5,1475.95,1100,0.241095890410959,0.0111,"Under"
"2594",222.375,1381.52,1200,0.312328767123288,0.0118,"Under"
"2595",117.375,1409.17,1325,0.213698630136986,0.0115,"Under"
"2596",374.625,1492.25,1150,0.276712328767123,0.0111,"Under"
"2597",553.125,1477.26,950,0.53972602739726,0.011,"Under"
"2598",4,1455.14,1550,0.0876712328767123,0.0111,"Over"
"2599",163.75,1442.39,1350,0.465753424657534,0.0113,"Under"
"2600",288.375,1468.25,1250,0.627397260273973,0.0111,"Under"
"2601",291,1409.12,1150,0.372602739726027,0.0115,"Under"
"2602",113.5,1343.55,1275,0.273972602739726,0.0122,"Under"
"2603",131.625,1475.62,1425,0.435616438356164,0.0112,"Under"
"2604",213.5,1455.22,1375,0.953424657534247,0.0111,"Under"
"2605",316.875,1448.72,1150,0.232876712328767,0.0114,"Under"
"2606",123.75,1364.59,1275,0.180821917808219,0.012,"Under"
"2607",59,1475.95,1490,0.241095890410959,0.0111,"Over"
"2608",88.875,1432.63,1400,0.194520547945205,0.0114,"Under"
"2609",90.125,1468.25,1475,0.378082191780822,0.0111,"Under"
"2610",18,1480.87,1700,0.504109589041096,0.0111,"Over"
"2611",93,1480.88,1425,0.183561643835616,0.0111,"Under"
"2612",33.125,1427.47,1475,0.161643835616438,0.0114,"Under"
"2613",197.5,1480.87,1300,0.101369863013699,0.0111,"Under"
"2614",162.5,1469.54,1325,0.128767123287671,0.0112,"Under"
"2615",21.5,1477.44,1550,0.145205479452055,0.011,"Over"
"2616",125.5,1466.04,1375,0.164383561643836,0.0111,"Under"
"2617",197.5,1480.87,1300,0.101369863013699,0.0111,"Under"
"2618",194.125,1441.47,1275,0.194520547945205,0.0112,"Under"
"2619",168.375,1398.66,1250,0.128767123287671,0.0117,"Under"
"2620",143.125,1498.58,1450,0.463013698630137,0.0109,"Under"
"2621",226.5,1441.36,1300,0.654794520547945,0.0112,"Under"
"2622",55,1342.13,1350,0.161643835616438,0.0122,"Under"
"2623",47,1426.69,1425,0.117808219178082,0.0115,"Under"
"2624",289.5,1469.54,1200,0.205479452054795,0.0112,"Under"
"2625",87,1334.22,1300,0.216438356164384,0.0123,"Under"
"2626",53,1387.02,1375,0.106849315068493,0.0118,"Under"
"2627",199,1469.44,1300,0.26027397260274,0.0111,"Under"
"2628",28.625,1440.51,1520,0.101369863013699,0.0113,"Under"
"2629",425,1477.44,1100,0.643835616438356,0.011,"Under"
"2630",55,1410.03,1400,0.145205479452055,0.0115,"Under"
"2631",99,1329.78,1275,0.178082191780822,0.0123,"Under"
"2632",54,1329.78,1350,0.178082191780822,0.0123,"Under"
"2633",160,1516.35,1385,0.194520547945205,0.0108,"Under"
"2634",64.25,1441.36,1420,0.156164383561644,0.0112,"Under"
"2635",238.75,1467.63,1300,0.531506849315069,0.0111,"Under"
"2636",91,1420.6,1375,0.123287671232877,0.0115,"Under"
"2637",120.875,1481.99,1375,0.106849315068493,0.0111,"Under"
"2638",195.75,1469.54,1300,0.205479452054795,0.0112,"Under"
"2639",133.625,1467.17,1350,0.104109589041096,0.0111,"Under"
"2640",276,1457.6,1200,0.186301369863014,0.0111,"Under"
"2641",360.75,1495.57,1200,0.657534246575342,0.011,"Under"
"2642",131.875,1442.39,1450,0.715068493150685,0.0113,"Under"
"2643",158.375,1457.84,1350,0.279452054794521,0.0112,"Under"
"2644",180.25,1498.58,1500,0.961643835616438,0.0109,"Under"
"2645",116.25,1475.95,1525,0.73972602739726,0.0111,"Under"
"2646",154.75,1517.68,1400,0.293150684931507,0.0109,"Under"
"2647",109,1464.29,1500,0.646575342465753,0.0113,"Under"
"2648",195.875,1493.74,1400,0.663013698630137,0.011,"Under"
"2649",83,1432.25,1375,0.104109589041096,0.0113,"Under"
"2650",84.5,1436.23,1400,0.205479452054795,0.0114,"Under"
"2651",285.875,1439.03,1200,0.473972602739726,0.0115,"Under"
"2652",18.625,1348.05,1450,0.224657534246575,0.012,"Over"
"2653",164,1452.43,1350,0.386301369863014,0.0112,"Under"
"2654",147.625,1329.78,1300,0.676712328767123,0.0123,"Under"
"2655",267.25,1402.03,1150,0.186301369863014,0.0117,"Under"
"2656",115,1315.19,1250,0.221917808219178,0.0124,"Under"
"2657",58.5,1374.17,1350,0.0986301369863014,0.0119,"Under"
"2658",58.75,1492.25,1475,0.123287671232877,0.0111,"Under"
"2659",1,1356.56,1600,0.0986301369863014,0.012,"Under"
"2660",66.5,1399.42,1375,0.126027397260274,0.0116,"Under"
"2661",210.625,1484.91,1375,0.756164383561644,0.0111,"Under"
"2662",10,1351.26,1650,0.589041095890411,0.0121,"Over"
"2663",563.75,1445.57,900,0.408219178082192,0.0112,"Under"
"2664",106,1448.72,1375,0.232876712328767,0.0114,"Over"
"2665",229.125,1507.73,1300,0.145205479452055,0.0108,"Under"
"2666",60,1462.93,1500,0.367123287671233,0.0113,"Over"
"2667",163.5,1402.03,1400,0.934246575342466,0.0117,"Under"
"2668",226.875,1514.09,1300,0.147945205479452,0.0109,"Under"
"2669",511.375,1465.15,975,0.424657534246575,0.0111,"Under"
"2670",9,1507.73,1700,0.221917808219178,0.0108,"Over"
"2671",85,1444.51,1475,0.493150684931507,0.0114,"Under"
"2672",244.75,1480.19,1275,0.405479452054795,0.0111,"Under"
"2673",12.625,1379.58,1700,0.635616438356164,0.0119,"Over"
"2674",31.25,1480.88,1500,0.106849315068493,0.0111,"Over"
"2675",385.75,1469.54,1100,0.205479452054795,0.0112,"Under"
"2676",72.625,1424.97,1450,0.36986301369863,0.0114,"Under"
"2677",15,1506.45,1575,0.156164383561644,0.0109,"Over"
"2678",1.25,1264.74,1450,0.0849315068493151,0.0129,"Under"
"2679",362.875,1480.88,1150,0.432876712328767,0.0111,"Under"
"2680",67.75,1355.62,1500,0.778082191780822,0.012,"Under"
"2681",151,1494.73,1350,0.202739726027397,0.0109,"Over"
"2682",68.5,1452.42,1500,0.391780821917808,0.0114,"Under"
"2683",17.375,1402.11,1475,0.123287671232877,0.0116,"Over"
"2684",44.875,1333.36,1375,0.232876712328767,0.0122,"Under"
"2685",77.375,1424.17,1450,0.358904109589041,0.0115,"Under"
"2686",338.5,1429.4,1100,0.126027397260274,0.0114,"Under"
"2687",150.625,1403.45,1325,0.446575342465753,0.0116,"Under"
"2688",381.625,1360.16,1050,0.884931506849315,0.0119,"Under"
"2689",432.625,1391.28,975,0.282191780821918,0.0117,"Under"
"2690",190.125,1471.84,1300,0.194520547945205,0.0112,"Under"
"2691",396.5,1487.37,1100,0.123287671232877,0.011,"Under"
"2692",299.875,1353.43,1075,0.312328767123288,0.012,"Under"
"2693",52,1469.54,1450,0.128767123287671,0.0112,"Over"
"2694",217.375,1355.62,1200,0.528767123287671,0.012,"Under"
"2695",139.875,1391.28,1400,0.780821917808219,0.0117,"Under"
"2696",85.875,1455.14,1410,0.164383561643836,0.0111,"Under"
"2697",16.5,1442.39,1550,0.216438356164384,0.0113,"Over"
"2698",22.5,1449.62,1500,0.13972602739726,0.0114,"Over"
"2699",269.75,1475.62,1250,0.435616438356164,0.0112,"Under"
"2700",269.25,1440.51,1225,0.427397260273973,0.0113,"Under"
"2701",58.125,1460.99,1460,0.142465753424658,0.0112,"Under"
"2702",37.125,1446.29,1475,0.126027397260274,0.0113,"Under"
"2703",50.375,1449.05,1550,0.484931506849315,0.0114,"Over"
"2704",42.5,1412.14,1430,0.106849315068493,0.0116,"Under"
"2705",7.5,1493.74,1575,0.0876712328767123,0.011,"Over"
"2706",19.25,1452.36,1500,0.0904109589041096,0.0112,"Over"
"2707",1.5,1351.46,1800,0.526027397260274,0.0121,"Over"
"2708",50,1478.9,1480,0.194520547945205,0.0112,"Over"
"2709",83,1455.22,1500,0.454794520547945,0.0111,"Under"
"2710",3.625,1455.22,1995,0.953424657534247,0.0111,"Over"
"2711",232.375,1382.95,1225,0.586301369863014,0.0118,"Under"
"2712",481.25,1460.99,1025,0.641095890410959,0.0112,"Under"
"2713",173.25,1458.29,1350,0.465753424657534,0.0113,"Under"
"2714",121,1467.63,1475,0.531506849315069,0.0111,"Under"
"2715",375,1360.69,1050,0.813698630136986,0.0119,"Under"
"2716",130.75,1410.03,1350,0.394520547945205,0.0115,"Under"
"2717",230.625,1459.9,1250,0.241095890410959,0.0113,"Under"
"2718",40,1500.64,1525,0.161643835616438,0.0108,"Over"
"2719",133,1436.23,1325,0.128767123287671,0.0114,"Under"
"2720",86.625,1392.14,1350,0.180821917808219,0.0116,"Under"
"2721",36,1399.42,1425,0.126027397260274,0.0116,"Under"
"2722",83.125,1328.92,1300,0.219178082191781,0.0123,"Under"
"2723",132.5,1438.7,1325,0.123287671232877,0.0115,"Under"
"2724",9.625,1498.13,1900,0.816438356164384,0.011,"Over"
"2725",404.625,1407.81,1050,0.6,0.0116,"Under"
"2726",46.25,1359.99,1375,0.180821917808219,0.012,"Under"
"2727",25.75,1465.15,1700,0.673972602739726,0.0111,"Over"
"2728",17,1505.97,1575,0.161643835616438,0.011,"Over"
"2729",117.25,1428.32,1350,0.216438356164384,0.0115,"Under"
"2730",120.875,1502.59,1400,0.142465753424658,0.011,"Under"
"2731",94.75,1305.95,1375,0.731506849315068,0.0125,"Under"
"2732",100,1460.25,1375,0.101369863013699,0.0113,"Under"
"2733",103.125,1452.43,1500,0.635616438356164,0.0112,"Under"
"2734",372.25,1468.25,1150,0.627397260273973,0.0111,"Under"
"2735",192.5,1492.92,1400,0.67945205479452,0.011,"Under"
"2736",141,1399.42,1300,0.202739726027397,0.0116,"Under"
"2737",419.875,1419.89,1025,0.386301369863014,0.0116,"Under"
"2738",88.125,1351.26,1350,0.33972602739726,0.0121,"Under"
"2739",8.5,1342.13,1600,0.410958904109589,0.0122,"Over"
"2740",481.125,1391.28,925,0.282191780821918,0.0117,"Under"
"2741",82,1464.46,1425,0.175342465753425,0.0111,"Under"
"2742",165.125,1480.88,1325,0.106849315068493,0.0111,"Under"
"2743",287.875,1356.56,1150,0.673972602739726,0.012,"Under"
"2744",74.125,1471.84,1415,0.0986301369863014,0.0112,"Over"
"2745",180.75,1452.18,1350,0.484931506849315,0.0112,"Under"
"2746",263.375,1430.83,1200,0.378082191780822,0.0115,"Under"
"2747",70.5,1409.12,1400,0.2,0.0115,"Under"
"2748",48.875,1421.22,1450,0.219178082191781,0.0115,"Under"
"2749",184.25,1495.57,1375,0.408219178082192,0.011,"Under"
"2750",49.5,1451.34,1450,0.161643835616438,0.0114,"Over"
"2751",87.5,1438.56,1575,0.931506849315068,0.0113,"Under"
"2752",198.375,1320.28,1250,0.961643835616438,0.012,"Under"
"2753",130,1527.35,1500,0.484931506849315,0.0106,"Under"
"2754",85,1401.44,1350,0.167123287671233,0.0116,"Under"
"2755",180.5,1465.15,1350,0.424657534246575,0.0111,"Under"
"2756",5.5,1467.63,1600,0.10958904109589,0.0111,"Over"
"2757",183.5,1527.35,1500,0.983561643835616,0.0106,"Under"
"2758",100.875,1274.86,1275,0.484931506849315,0.0128,"Under"
"2759",314.875,1409.28,1125,0.375342465753425,0.0115,"Under"
"2760",163.5,1402.03,1400,0.934246575342466,0.0117,"Under"
"2761",167,1356.56,1350,0.673972602739726,0.012,"Under"
"2762",24,1402.03,1475,0.186301369863014,0.0117,"Over"
"2763",121.5,1482.8,1425,0.356164383561644,0.0111,"Under"
"2764",156.5,1376.54,1300,0.528767123287671,0.0119,"Under"
"2765",211.625,1424.24,1250,0.358904109589041,0.0114,"Under"
"2766",198.5,1424.37,1350,0.865753424657534,0.0114,"Under"
"2767",169,1452.43,1450,0.884931506849315,0.0112,"Under"
"2768",143.125,1376.54,1275,0.279452054794521,0.0119,"Under"
"2769",101.75,1333.36,1300,0.30958904109589,0.0122,"Under"
"2770",38.75,1491.56,1480,0.0904109589041096,0.0111,"Over"
"2771",44.5,1322.74,1325,0.0904109589041096,0.0124,"Under"
"2772",51.75,1416.83,1395,0.101369863013699,0.0114,"Over"
"2773",26.5,1452.42,1600,0.391780821917808,0.0114,"Over"
"2774",123.125,1441.72,1350,0.183561643835616,0.0112,"Under"
"2775",229.125,1507.73,1300,0.145205479452055,0.0108,"Under"
"2776",100,1348.97,1375,0.550684931506849,0.0121,"Under"
"2777",216.125,1349.97,1150,0.164383561643836,0.0121,"Under"
"2778",58.25,1383.62,1550,0.761643835616438,0.0117,"Under"
"2779",30,1458.47,1700,0.753424657534247,0.0111,"Over"
"2780",343.625,1455.9,1150,0.410958904109589,0.0111,"Under"
"2781",109.5,1409.17,1350,0.29041095890411,0.0115,"Under"
"2782",195,1432.25,1375,0.928767123287671,0.0113,"Under"
"2783",23,1359.15,1400,0.0876712328767123,0.0119,"Under"
"2784",471,1382.95,950,0.586301369863014,0.0118,"Under"
"2785",244.75,1427.21,1200,0.221917808219178,0.0116,"Under"
"2786",271.75,1364.59,1100,0.104109589041096,0.012,"Under"
"2787",31,1342.62,1450,0.320547945205479,0.0122,"Under"
"2788",45,1343.55,1375,0.197260273972603,0.0122,"Under"
"2789",80,1491.56,1450,0.186301369863014,0.0111,"Over"
"2790",293,1274.86,995,0.235616438356164,0.0128,"Under"
"2791",307.5,1424.97,1150,0.36986301369863,0.0114,"Under"
"2792",57.375,1395.07,1400,0.194520547945205,0.0116,"Under"
